municipality,iata_code,coordinates
Zabreh,ZBE,"18.07830047607422, 49.92829895019531"
Zaragoza,ZAZ,"-1.0415500402450562, 41.66619873046875"
Zhaotong,ZAT,"103.75499725341797, 27.325599670410156"
Zaria,ZAR,"7.68581, 11.1302"
Cahors/Lalbenque,ZAO,"1.4752800464630127, 44.35139846801758"
Zamboanga City,ZAM,"122.05999755859375, 6.922420024871826"
Valdivia,ZAL,"-73.0860977173, -39.6500015259"
Zaranj,ZAJ,"61.865833, 30.972222"
Zahedan,ZAH,"60.90620040893555, 29.47570037841797"
Zagreb,ZAG,"16.0687999725, 45.7429008484"
Zemunik (Zadar),ZAD,"15.3467, 44.108299"
York Landing,ZAC,"-96.08920288085938, 56.08940124511719"
,ZAA,"-129.483001709, 55.4667015076"
Trail,YZZ,"-117.60900116, 49.0555992126"
Zhangye,YZY,"100.675003052, 38.8018989563"
Greenwood,YZX,"-64.91690063476562, 44.98440170288086"
Teslin,YZW,"-132.7429962158203, 60.17279815673828"
Sept-Ãles,YZV,"-66.2656021118164, 50.22330093383789"
Whitecourt,YZU,"-115.78700256347656, 54.14390182495117"
Port Hardy,YZT,"-127.36699676513672, 50.680599212646484"
Coral Harbour,YZS,"-83.3593978882, 64.1932983398"
Sarnia,YZR,"-82.30889892578125, 42.9994010925293"
Sandspit,YZP,"-131.813995361, 53.25429916379999"
Slave Lake,YZH,"-114.777000427, 55.2930984497"
Salluit,YZG,"-75.66719818115234, 62.17940139770508"
Yellowknife,YZF,"-114.44000244140625, 62.462799072265625"
Gore Bay,YZE,"-82.56780242919922, 45.88529968261719"
Cache Creek,YZA,"-121.321314, 50.775258"
Toronto,YYZ,"-79.63059997559999, 43.6772003174"
Mont-Joli,YYY,"-68.20809936523438, 48.60860061645508"
Armstrong,YYW,"-88.90969848632812, 50.29029846191406"
Kapuskasing,YYU,"-82.46749877929688, 49.41389846801758"
St. John's,YYT,"-52.7518997192, 47.618598938"
Blissville,YYS,"-66.543678, 45.605633"
Goose Bay,YYR,"-60.4258003235, 53.3191986084"
Churchill,YYQ,"-94.06500244140625, 58.739200592041016"
Swift Current,YYN,"-107.691001892, 50.291900634799994"
Cowley,YYM,"-114.09400177, 49.636398315399994"
Lynn Lake,YYL,"-101.07599639892578, 56.86389923095703"
Victoria,YYJ,"-123.426002502, 48.646900177"
,YYI,"-100.313930511, 50.010055763699995"
Taloyoak,YYH,"-93.576698, 69.5467"
